,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,NumberOfBinaryFeatures,NumberOfClasses,NumberOfSymbolicFeatures,SkewnessMin,SkewnessMax,SkewnessMean,KurtosisMin,KurtosisMax,KurtosisMean
2,898.0,39.0,22175.0,63.317343384158534,898.0,100.0,,,6.0,,,,,,,,4.0,5.0,33.0,,,,,,
3,3196.0,37.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,35.0,2.0,37.0,,,,,,
4,57.0,17.0,326.0,33.64293085655315,56.0,98.24561403508771,,,8.0,,,,,,,,4.0,2.0,9.0,,,,,,
5,452.0,280.0,408.0,0.3223767383059419,384.0,84.95575221238938,,,206.0,,,,,,,,73.0,13.0,74.0,,,,,,
6,20000.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,0.0,26.0,1.0,,,,,,
7,226.0,70.0,317.0,2.0037926675094817,222.0,98.23008849557522,,,0.0,,,,,,,,61.0,24.0,70.0,,,,,,
8,345.0,6.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,0.0,0.0,0.0,,,,,,
9,205.0,26.0,59.0,1.1069418386491556,46.0,22.439024390243905,,,15.0,,,,,,,,4.0,6.0,11.0,,,,,,
10,148.0,19.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,9.0,4.0,16.0,,,,,,
11,625.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,0.0,3.0,1.0,,,,,,
12,2000.0,217.0,0.0,0.0,0.0,0.0,,,216.0,,,,,,,,0.0,10.0,1.0,,,,,,
13,286.0,10.0,9.0,0.3146853146853147,9.0,3.146853146853147,,,0.0,,,,,,,,4.0,2.0,10.0,,,,,,
14,2000.0,77.0,0.0,0.0,0.0,0.0,,,76.0,,,,,,,,0.0,10.0,1.0,,,,,,
15,699.0,10.0,16.0,0.22889842632331905,16.0,2.28898426323319,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
16,2000.0,65.0,0.0,0.0,0.0,0.0,,,64.0,,,,,,,,0.0,10.0,1.0,,,,,,
18,2000.0,7.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,0.0,10.0,1.0,,,,,,
20,2000.0,241.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,241.0,,,,,,
22,2000.0,48.0,0.0,0.0,0.0,0.0,,,47.0,,,,,,,,0.0,10.0,1.0,,,,,,
23,1473.0,10.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,3.0,3.0,8.0,,,,,,
24,8124.0,23.0,2480.0,1.3272536552993814,2480.0,30.526834071885773,,,0.0,,,,,,,,5.0,2.0,23.0,,,,,,
25,368.0,27.0,1927.0,19.394122383252817,361.0,98.09782608695652,,,7.0,,,,,,,,5.0,2.0,20.0,,,,,,
26,12960.0,9.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,5.0,9.0,,,,,,
27,368.0,23.0,1927.0,22.767013232514177,361.0,98.09782608695652,,,7.0,,,,,,,,3.0,2.0,16.0,,,,,,
28,5620.0,65.0,0.0,0.0,0.0,0.0,,,64.0,,,,,,,,0.0,10.0,1.0,,,,,,
29,690.0,16.0,67.0,0.6068840579710145,37.0,5.36231884057971,,,6.0,,,,,,,,5.0,2.0,10.0,,,,,,
30,5473.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
31,1000.0,21.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,3.0,2.0,14.0,,,,,,
32,10992.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,0.0,10.0,1.0,,,,,,
34,90.0,9.0,3.0,0.3703703703703704,3.0,3.3333333333333335,,,0.0,,,,,,,,2.0,3.0,9.0,,,,,,
35,366.0,35.0,8.0,0.0624512099921936,8.0,2.185792349726776,,,1.0,,,,,,,,1.0,6.0,34.0,,,,,,
36,2310.0,20.0,0.0,0.0,0.0,0.0,,,19.0,,,,,,,,0.0,7.0,1.0,,,,,,
37,768.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,1.0,2.0,1.0,,,,,,
38,3772.0,30.0,6064.0,5.358784022622834,3772.0,100.0,,,7.0,,,,,,,,21.0,2.0,23.0,,,,,,
39,336.0,8.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,8.0,1.0,,,,,,
40,208.0,61.0,0.0,0.0,0.0,0.0,,,60.0,,,,,,,,1.0,2.0,1.0,,,,,,
41,214.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,6.0,1.0,,,,,,
42,683.0,36.0,2337.0,9.504636408003904,121.0,17.71595900439239,,,0.0,,,,,,,,16.0,19.0,36.0,,,,,,
43,306.0,4.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,2.0,2.0,,,,,,
44,4601.0,58.0,0.0,0.0,0.0,0.0,,,57.0,,,,,,,,1.0,2.0,1.0,,,,,,
46,3190.0,61.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,3.0,61.0,,,,,,
48,151.0,6.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,2.0,3.0,3.0,,,,,,
49,303.0,14.0,7.0,0.16501650165016502,7.0,2.31023102310231,,,6.0,,,,,,,,3.0,2.0,8.0,,,,,,
50,958.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,10.0,,,,,,
51,294.0,14.0,782.0,18.999028182701654,293.0,99.65986394557824,,,6.0,,,,,,,,3.0,2.0,8.0,,,,,,
52,10.0,33.0,51.0,15.454545454545453,7.0,70.0,,,0.0,,,,,,,,18.0,2.0,33.0,,,,,,
53,270.0,14.0,0.0,0.0,0.0,0.0,,,13.0,,,,,,,,1.0,2.0,1.0,,,,,,
54,846.0,19.0,0.0,0.0,0.0,0.0,,,18.0,,,,,,,,0.0,4.0,1.0,,,,,,
55,155.0,20.0,167.0,5.387096774193548,75.0,48.38709677419355,,,6.0,,,,,,,,14.0,2.0,14.0,,,,,,
56,435.0,17.0,392.0,5.300878972278566,203.0,46.666666666666664,,,0.0,,,,,,,,17.0,2.0,17.0,,,,,,
57,3772.0,30.0,6064.0,5.358784022622834,3772.0,100.0,,,7.0,,,,,,,,20.0,4.0,23.0,,,,,,
59,351.0,35.0,0.0,0.0,0.0,0.0,,,34.0,,,,,,,,1.0,2.0,1.0,,,,,,
60,5000.0,41.0,0.0,0.0,0.0,0.0,,,40.0,,,,,,,,0.0,3.0,1.0,,,,,,
61,150.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,0.0,3.0,1.0,,,,,,
62,101.0,17.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,15.0,7.0,16.0,,,,,,
70,1000000.0,39.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,19.0,6.0,39.0,,,,,,
71,1000000.0,39.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,6.0,39.0,,,,,,
72,1000000.0,37.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,35.0,2.0,37.0,,,,,,
73,1000000.0,17.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,2.0,17.0,,,,,,
74,1000000.0,17.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,26.0,17.0,,,,,,
75,1000000.0,26.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,7.0,26.0,,,,,,
76,1000000.0,19.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,9.0,4.0,19.0,,,,,,
77,1000000.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,2.0,10.0,,,,,,
78,1000000.0,77.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,77.0,,,,,,
115,1000000.0,65.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,65.0,,,,,,
116,1000000.0,13.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,6.0,13.0,,,,,,
117,1000000.0,13.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,2.0,6.0,13.0,,,,,,
118,1000000.0,48.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,48.0,,,,,,
119,55296.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,3.0,10.0,,,,,,
120,1000000.0,23.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,5.0,2.0,23.0,,,,,,
121,1000000.0,28.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,5.0,2.0,28.0,,,,,,
122,1000000.0,23.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,23.0,,,,,,
123,1000000.0,65.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,65.0,,,,,,
124,1000000.0,16.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,5.0,2.0,16.0,,,,,,
125,295245.0,11.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,5.0,11.0,,,,,,
126,1000000.0,21.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,21.0,,,,,,
127,1000000.0,17.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,10.0,17.0,,,,,,
128,1000000.0,40.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,4.0,2.0,40.0,,,,,,
129,1000000.0,35.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,6.0,35.0,,,,,,
130,1000000.0,20.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,7.0,20.0,,,,,,
131,1000000.0,30.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,21.0,2.0,30.0,,,,,,
132,1000000.0,61.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,61.0,,,,,,
133,137781.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,7.0,10.0,,,,,,
134,1000000.0,36.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,16.0,19.0,36.0,,,,,,
135,1000000.0,58.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,58.0,,,,,,
136,1000000.0,14.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,5.0,14.0,,,,,,
137,39366.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,10.0,,,,,,
138,1000000.0,14.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,5.0,14.0,,,,,,
139,1000000.0,33.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,18.0,2.0,33.0,,,,,,
140,1000000.0,14.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,14.0,,,,,,
141,1000000.0,19.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,4.0,19.0,,,,,,
142,1000000.0,20.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,14.0,2.0,20.0,,,,,,
143,131072.0,17.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,17.0,2.0,17.0,,,,,,
144,1000000.0,30.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,20.0,4.0,30.0,,,,,,
146,1000000.0,35.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,35.0,,,,,,
147,1000000.0,41.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,3.0,41.0,,,,,,
148,1000000.0,18.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,15.0,7.0,18.0,,,,,,
149,1455525.0,73.0,0.0,0.0,0.0,0.0,,,22.0,,,,,,,,44.0,10.0,51.0,,,,,,
150,581012.0,55.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,44.0,7.0,45.0,,,,,,
151,45312.0,9.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,1.0,2.0,2.0,,,,,,
152,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,2.0,1.0,,,,,,
153,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,2.0,1.0,,,,,,
154,1000000.0,25.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,24.0,10.0,25.0,,,,,,
155,829201.0,11.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,10.0,6.0,,,,,,
156,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
157,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
158,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
159,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
160,1000000.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
161,1000000.0,4.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,
162,1000000.0,4.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,1.0,2.0,1.0,,,,,,
163,32.0,57.0,5.0,0.2741228070175438,5.0,15.625,,,0.0,,,,,,,,13.0,3.0,57.0,,,,,,
164,106.0,59.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1.0,2.0,59.0,,,,,,
171,339.0,18.0,225.0,3.687315634218289,207.0,61.06194690265486,,,0.0,,,,,,,,14.0,21.0,18.0,,,,,,
172,15.0,7.0,26.0,24.761904761904763,9.0,60.0,,,0.0,,,,,,,,5.0,2.0,7.0,,,,,,
179,48842.0,15.0,6465.0,0.8824372466319971,3620.0,7.411653904426519,,,2.0,,,,,,,,2.0,2.0,13.0,,,,,,
180,110393.0,55.0,0.0,0.0,0.0,0.0,,,14.0,,,,,,,,40.0,7.0,41.0,,,,,,
181,1484.0,9.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,0.0,10.0,1.0,,,,,,
182,6430.0,37.0,0.0,0.0,0.0,0.0,,,36.0,,,,,,,,0.0,6.0,1.0,,,,,,
183,4177.0,9.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,28.0,2.0,,,,,,
184,28056.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,18.0,7.0,,,,,,
185,1340.0,18.0,20.0,0.08291873963515754,20.0,1.4925373134328357,,,15.0,,,,,,,,0.0,3.0,3.0,,,,,,
186,412.0,9.0,96.0,2.5889967637540456,49.0,11.893203883495145,,,4.0,,,,,,,,1.0,7.0,5.0,,,,,,
187,178.0,14.0,0.0,0.0,0.0,0.0,,,13.0,,,,,,,,0.0,3.0,1.0,,,,,,
188,736.0,20.0,448.0,3.0434782608695654,95.0,12.907608695652172,,,14.0,,,,,,,,0.0,5.0,6.0,,,,,,
189,8192.0,9.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,0.0,0.0,,,,,,
190,61.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,1.0,0.0,1.0,,,,,,
191,194.0,33.0,0.0,0.0,0.0,0.0,,,33.0,,,,,,,,0.0,0.0,0.0,,,,,,
192,52.0,4.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,0.0,0.0,0.0,,,,,,
193,40.0,8.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,0.0,0.0,0.0,,,,,,
194,303.0,14.0,6.0,0.14144271570014144,6.0,1.9801980198019802,,,7.0,,,,,,,,3.0,0.0,7.0,,,,,,
195,159.0,16.0,0.0,0.0,0.0,0.0,,,15.0,,,,,,,,0.0,0.0,1.0,,,,,,
196,398.0,8.0,6.0,0.18844221105527637,6.0,1.507537688442211,,,5.0,,,,,,,,0.0,0.0,3.0,,,,,,
197,8192.0,22.0,0.0,0.0,0.0,0.0,,,22.0,,,,,,,,0.0,0.0,0.0,,,,,,
198,9517.0,7.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,0.0,0.0,,,,,,
